## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-07-28T20:59:16.510Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Society. 2024. Cambridge Bay Conductivity Temperature Depth Deployed 2024-08-29. Ocean Networks Canada Society. https://doi.org/10.34943/83c71dca-11d5-41f4-81c1-fa03bfb1f4a8. Subset Query: 31682819. Accessed 2025-07-28."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_ConductivityTemperatureDepth_20250701T000000Z_20250702T000000Z-clean_MinMax1minute_CSV_META.xml  / Metadata file name
#SEARCHID:  51625886                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.113000                         / Latitude North
#LONGITUDE:  -105.064500                         / Longitude East
#DEPTH:         9.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2025-07-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 7128"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p7128                        / Device Code of Device 1
#DEVID1:    23830                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2025-07-01T00:00:00.000Z             / Data Start Time
#DATETO:    2025-07-02T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2024-03-19T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 60                                   / Resample Period (s)
#RESAMPTYP: Min/Max                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Minimum and maximum values within resample period  / Resample Description
#TOTSAMPLE: 1440                                 / Samples in File
#TOTSMPEXP: 1440                                 / Samples expected
#DPOPTGAPS: None  / Data Gaps: None - Do not fill gaps 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Conductivity Count", "Conductivity Max Value", "Conductivity Max Date", "Conductivity Max QC Flag", "Conductivity Min Value", "Conductivity Min Date", "Conductivity Min QC Flag", "Density Count", "Density Max Value", "Density Max Date", "Density Max QC Flag", "Density Min Value", "Density Min Date", "Density Min QC Flag", "Depth Count", "Depth Max Value", "Depth Max Date", "Depth Max QC Flag", "Depth Min Value", "Depth Min Date", "Depth Min QC Flag", "Practical Salinity Count", "Practical Salinity Max Value", "Practical Salinity Max Date", "Practical Salinity Max QC Flag", "Practical Salinity Min Value", "Practical Salinity Min Date", "Practical Salinity Min QC Flag", "Pressure Count", "Pressure Max Value", "Pressure Max Date", "Pressure Max QC Flag", "Pressure Min Value", "Pressure Min Date", "Pressure Min QC Flag", "Sigma-t Count", "Sigma-t Max Value", "Sigma-t Max Date", "Sigma-t Max QC Flag", "Sigma-t Min Value", "Sigma-t Min Date", "Sigma-t Min QC Flag", "Sigma-theta (0 dbar) Count", "Sigma-theta (0 dbar) Max Value", "Sigma-theta (0 dbar) Max Date", "Sigma-theta (0 dbar) Max QC Flag", "Sigma-theta (0 dbar) Min Value", "Sigma-theta (0 dbar) Min Date", "Sigma-theta (0 dbar) Min QC Flag", "Sound Speed Count", "Sound Speed Max Value", "Sound Speed Max Date", "Sound Speed Max QC Flag", "Sound Speed Min Value", "Sound Speed Min Date", "Sound Speed Min QC Flag", "Temperature Count", "Temperature Max Value", "Temperature Max Date", "Temperature Max QC Flag", "Temperature Min Value", "Temperature Min Date", "Temperature Min QC Flag"
## END HEADER
2025-07-01T00:00:30.000Z, 60, 2.38554, 2025-07-01T00:00:08.228Z, 1, 2.38527, 2025-07-01T00:00:53.227Z, 1, 60, 1022.802688119, 2025-07-01T00:00:22.227Z, 1, 1022.784815302, 2025-07-01T00:00:59.227Z, 1, 60, 9.51, 2025-07-01T00:00:59.227Z, 1, 9.51, 2025-07-01T00:00:59.227Z, 1, 60, 28.3616, 2025-07-01T00:00:22.227Z, 1, 28.3403, 2025-07-01T00:00:59.227Z, 1, 60, 9.611, 2025-07-01T00:00:00.229Z, 1, 9.607, 2025-07-01T00:00:49.231Z, 1, 60, 22.756314084, 2025-07-01T00:00:22.227Z, 1, 22.738450975, 2025-07-01T00:00:59.227Z, 1, 60, 22.756320323, 2025-07-01T00:00:22.227Z, 1, 22.738457312, 2025-07-01T00:00:59.227Z, 1, 60, 1439.63, 2025-07-01T00:00:59.227Z, 1, 1439.553, 2025-07-01T00:00:23.228Z, 1, 60, -0.1632, 2025-07-01T00:00:59.227Z, 1, -0.1858, 2025-07-01T00:00:22.227Z, 1
2025-07-01T00:01:30.000Z, 60, 2.3863, 2025-07-01T00:01:52.228Z, 1, 2.38543, 2025-07-01T00:01:00.227Z, 1, 60, 1022.78455197, 2025-07-01T00:01:00.227Z, 1, 1022.748541916, 2025-07-01T00:01:59.226Z, 1, 60, 9.51, 2025-07-01T00:01:59.226Z, 1, 9.51, 2025-07-01T00:01:59.226Z, 1, 60, 28.34, 2025-07-01T00:01:00.227Z, 1, 28.2975, 2025-07-01T00:01:59.226Z, 1, 60, 9.609, 2025-07-01T00:01:36.227Z, 1, 9.606, 2025-07-01T00:01:58.227Z, 1, 60, 22.738187824, 2025-07-01T00:01:00.227Z, 1, 22.702190776, 2025-07-01T00:01:59.226Z, 1, 60, 22.738194165, 2025-07-01T00:01:00.227Z, 1, 22.70219738, 2025-07-01T00:01:59.226Z, 1, 60, 1439.841, 2025-07-01T00:01:57.226Z, 1, 1439.633, 2025-07-01T00:01:00.227Z, 1, 60, -0.1062, 2025-07-01T00:01:57.226Z, 1, -0.1625, 2025-07-01T00:01:00.227Z, 1
2025-07-01T00:02:30.000Z, 60, 2.38637, 2025-07-01T00:02:59.227Z, 1, 2.38575, 2025-07-01T00:02:37.227Z, 1, 60, 1022.747715084, 2025-07-01T00:02:00.226Z, 1, 1022.705153222, 2025-07-01T00:02:47.225Z, 1, 60, 9.51, 2025-07-01T00:02:59.227Z, 1, 9.51, 2025-07-01T00:02:59.227Z, 1, 60, 28.2965, 2025-07-01T00:02:00.226Z, 1, 28.2458, 2025-07-01T00:02:47.225Z, 1, 60, 9.607, 2025-07-01T00:02:28.226Z, 1, 9.604, 2025-07-01T00:02:51.226Z, 1, 60, 22.70136883, 2025-07-01T00:02:00.226Z, 1, 22.658827983, 2025-07-01T00:02:47.225Z, 1, 60, 22.701375436, 2025-07-01T00:02:00.226Z, 1, 22.658834828, 2025-07-01T00:02:47.225Z, 1, 60, 1440.031, 2025-07-01T00:02:59.227Z, 1, 1439.841, 2025-07-01T00:02:00.226Z, 1, 60, -0.0518, 2025-07-01T00:02:59.227Z, 1, -0.1058, 2025-07-01T00:02:00.226Z, 1
2025-07-01T00:03:30.000Z, 60, 2.39178, 2025-07-01T00:03:59.225Z, 1, 2.3864, 2025-07-01T00:03:00.226Z, 1, 60, 1022.716588727, 2025-07-01T00:03:31.240Z, 1, 1022.6869836, 2025-07-01T00:03:56.225Z, 1, 60, 9.51, 2025-07-01T00:03:59.225Z, 1, 9.51, 2025-07-01T00:03:59.225Z, 1, 60, 28.2612, 2025-07-01T00:03:31.240Z, 1, 28.2272, 2025-07-01T00:03:56.225Z, 1, 60, 9.606, 2025-07-01T00:03:44.226Z, 1, 9.603, 2025-07-01T00:03:57.225Z, 1, 60, 22.67027379, 2025-07-01T00:03:31.240Z, 1, 22.640685561, 2025-07-01T00:03:56.225Z, 1, 60, 22.670280833, 2025-07-01T00:03:31.240Z, 1, 22.640692959, 2025-07-01T00:03:56.225Z, 1, 60, 1440.455, 2025-07-01T00:03:56.225Z, 1, 1440.023, 2025-07-01T00:03:04.225Z, 1, 60, 0.0452, 2025-07-01T00:03:56.225Z, 1, -0.0545, 2025-07-01T00:03:03.228Z, 1
2025-07-01T00:04:30.000Z, 60, 2.39615, 2025-07-01T00:04:55.224Z, 1, 2.39176, 2025-07-01T00:04:01.225Z, 1, 60, 1022.698580012, 2025-07-01T00:04:07.224Z, 1, 1022.639110855, 2025-07-01T00:04:57.225Z, 1, 60, 9.51, 2025-07-01T00:04:59.224Z, 1, 9.51, 2025-07-01T00:04:59.224Z, 1, 60, 28.2414, 2025-07-01T00:04:07.224Z, 1, 28.1728, 2025-07-01T00:04:57.225Z, 1, 60, 9.605, 2025-07-01T00:04:39.225Z, 1, 9.603, 2025-07-01T00:04:58.224Z, 1, 60, 22.652281819, 2025-07-01T00:04:07.224Z, 1, 22.592852695, 2025-07-01T00:04:57.225Z, 1, 60, 22.652289209, 2025-07-01T00:04:07.224Z, 1, 22.592860747, 2025-07-01T00:04:57.225Z, 1, 60, 1440.938, 2025-07-01T00:04:57.225Z, 1, 1440.423, 2025-07-01T00:04:01.225Z, 1, 60, 0.1642, 2025-07-01T00:04:57.225Z, 1, 0.035, 2025-07-01T00:04:01.225Z, 1
2025-07-01T00:05:30.000Z, 60, 2.39624, 2025-07-01T00:05:08.224Z, 1, 2.39326, 2025-07-01T00:05:50.225Z, 1, 60, 1022.641764723, 2025-07-01T00:05:01.224Z, 1, 1022.595568814, 2025-07-01T00:05:46.224Z, 1, 60, 9.51, 2025-07-01T00:05:59.226Z, 1, 9.5, 2025-07-01T00:05:52.224Z, 1, 60, 28.176, 2025-07-01T00:05:01.224Z, 1, 28.1199, 2025-07-01T00:05:47.224Z, 1, 60, 9.604, 2025-07-01T00:05:20.224Z, 1, 9.601, 2025-07-01T00:05:52.224Z, 1, 60, 22.595506189, 2025-07-01T00:05:01.224Z, 1, 22.549318822, 2025-07-01T00:05:46.224Z, 1, 60, 22.595514233, 2025-07-01T00:05:01.224Z, 1, 22.549326967, 2025-07-01T00:05:46.224Z, 1, 60, 1441.025, 2025-07-01T00:05:09.229Z, 1, 1440.918, 2025-07-01T00:05:54.225Z, 1, 60, 0.1916, 2025-07-01T00:05:45.224Z, 1, 0.162, 2025-07-01T00:05:01.224Z, 1
2025-07-01T00:06:30.000Z, 60, 2.39334, 2025-07-01T00:06:12.225Z, 1, 2.39131, 2025-07-01T00:06:59.224Z, 1, 60, 1022.60785769, 2025-07-01T00:06:00.224Z, 1, 1022.584382805, 2025-07-01T00:06:59.224Z, 1, 60, 9.51, 2025-07-01T00:06:39.223Z, 1, 9.5, 2025-07-01T00:06:59.224Z, 1, 60, 28.1342, 2025-07-01T00:06:00.224Z, 1, 28.1053, 2025-07-01T00:06:59.224Z, 1, 60, 9.602, 2025-07-01T00:06:39.223Z, 1, 9.6, 2025-07-01T00:06:59.224Z, 1, 60, 22.561602421, 2025-07-01T00:06:00.224Z, 1, 22.53813632, 2025-07-01T00:06:59.224Z, 1, 60, 22.561610448, 2025-07-01T00:06:00.224Z, 1, 22.538144339, 2025-07-01T00:06:59.224Z, 1, 60, 1440.967, 2025-07-01T00:06:15.224Z, 1, 1440.894, 2025-07-01T00:06:59.224Z, 1, 60, 0.1862, 2025-07-01T00:06:15.224Z, 1, 0.168, 2025-07-01T00:06:01.224Z, 1
2025-07-01T00:07:30.000Z, 60, 2.39125, 2025-07-01T00:07:00.224Z, 1, 2.39037, 2025-07-01T00:07:46.222Z, 1, 60, 1022.583986981, 2025-07-01T00:07:00.224Z, 1, 1022.569887844, 2025-07-01T00:07:54.223Z, 1, 60, 9.5, 2025-07-01T00:07:59.223Z, 1, 9.5, 2025-07-01T00:07:59.223Z, 1, 60, 28.1048, 2025-07-01T00:07:00.224Z, 1, 28.0878, 2025-07-01T00:07:54.223Z, 1, 60, 9.601, 2025-07-01T00:07:49.223Z, 1, 9.598, 2025-07-01T00:07:57.222Z, 1, 60, 22.537740396, 2025-07-01T00:07:00.224Z, 1, 22.523648035, 2025-07-01T00:07:54.223Z, 1, 60, 22.537748413, 2025-07-01T00:07:00.224Z, 1, 22.523656099, 2025-07-01T00:07:54.223Z, 1, 60, 1440.926, 2025-07-01T00:07:53.222Z, 1, 1440.88, 2025-07-01T00:07:18.224Z, 1, 60, 0.1859, 2025-07-01T00:07:53.222Z, 1, 0.1716, 2025-07-01T00:07:18.224Z, 1
2025-07-01T00:08:30.000Z, 60, 2.3908, 2025-07-01T00:08:46.222Z, 1, 2.38941, 2025-07-01T00:08:29.222Z, 1, 60, 1022.571720715, 2025-07-01T00:08:03.222Z, 1, 1022.554452949, 2025-07-01T00:08:41.222Z, 1, 60, 9.5, 2025-07-01T00:08:59.224Z, 1, 9.5, 2025-07-01T00:08:59.224Z, 1, 60, 28.0897, 2025-07-01T00:08:03.222Z, 1, 28.0692, 2025-07-01T00:08:58.222Z, 1, 60, 9.6, 2025-07-01T00:08:26.222Z, 1, 9.596, 2025-07-01T00:08:57.222Z, 1, 60, 22.525473739, 2025-07-01T00:08:03.222Z, 1, 22.508216757, 2025-07-01T00:08:41.222Z, 1, 60, 22.525481753, 2025-07-01T00:08:03.222Z, 1, 22.508224908, 2025-07-01T00:08:41.222Z, 1, 60, 1440.982, 2025-07-01T00:08:42.239Z, 1, 1440.878, 2025-07-01T00:08:14.223Z, 1, 60, 0.2032, 2025-07-01T00:08:41.222Z, 1, 0.1758, 2025-07-01T00:08:14.223Z, 1
2025-07-01T00:09:30.000Z, 60, 2.39011, 2025-07-01T00:09:00.222Z, 1, 2.38786, 2025-07-01T00:09:57.222Z, 1, 60, 1022.557487535, 2025-07-01T00:09:14.222Z, 1, 1022.545550094, 2025-07-01T00:09:56.222Z, 1, 60, 9.5, 2025-07-01T00:09:59.222Z, 1, 9.5, 2025-07-01T00:09:59.222Z, 1, 60, 28.072, 2025-07-01T00:09:14.222Z, 1, 28.0573, 2025-07-01T00:09:56.222Z, 1, 60, 9.599, 2025-07-01T00:09:05.236Z, 1, 9.594, 2025-07-01T00:09:56.222Z, 1, 60, 22.511253204, 2025-07-01T00:09:14.222Z, 1, 22.499329682, 2025-07-01T00:09:56.222Z, 1, 60, 22.511261185, 2025-07-01T00:09:14.222Z, 1, 22.499337655, 2025-07-01T00:09:56.222Z, 1, 60, 1440.947, 2025-07-01T00:09:00.222Z, 1, 1440.839, 2025-07-01T00:09:47.221Z, 1, 60, 0.1957, 2025-07-01T00:09:00.222Z, 1, 0.1751, 2025-07-01T00:09:47.221Z, 1
